Latitude,Longitude,tab
43.11456,-87.916785,Mcdonalds
34.024822,-118.459388,Mcdonalds
40.002592,-83.008671,Mcdonalds
41.405239,-81.696585,Mcdonalds
33.8748,-117.9983,Mcdonalds
27.4436,-80.340424,Mcdonalds
35.064924,-89.90555,Mcdonalds
35.11359,-89.945954,Mcdonalds
25.927938,-80.194964,Mcdonalds
25.701716,-80.292589,Mcdonalds
33.931356,-117.993146,Mcdonalds
29.933729,-90.007549,Mcdonalds
34.258024,-118.536021,Mcdonalds
42.6062,-82.8697,Mcdonalds
42.286805,-89.608922,Mcdonalds
33.94524321,-118.2112945,Mcdonalds
37.988913,-121.312009,Mcdonalds
33.684702,-117.91941,Mcdonalds
34.159779,-118.132598,Mcdonalds
41.792177,-87.78979,Mcdonalds
34.170513,-119.17774,Mcdonalds
33.8585,-117.9593,Mcdonalds
33.758816,-118.004925,Mcdonalds
38.7354,-90.2779,Mcdonalds
41.756133,-87.632202,Mcdonalds
39.167435,-94.576933,Mcdonalds
36.735946,-119.749765,Mcdonalds
39.07974,-84.481065,Mcdonalds
42.909937,-78.866417,Mcdonalds
41.415265,-81.924614,Mcdonalds
41.416252,-81.730688,Mcdonalds
41.205323,-73.093273,Mcdonalds
41.67329,-81.325726,Mcdonalds
37.671104,-122.12134,Mcdonalds
43.077231,-75.308243,Mcdonalds
25.872704,-80.242695,Mcdonalds
34.106508,-117.366794,Mcdonalds
44.504792,-87.985103,Mcdonalds
34.757848,-86.592396,Mcdonalds
30.240914,-97.757092,Mcdonalds
34.270364,-118.467279,Mcdonalds
41.943894,-73.997118,Mcdonalds
38.634207,-121.328213,Mcdonalds
41.525423,-81.587362,Mcdonalds
40.131015,-75.116058,Mcdonalds
37.310717,-121.931688,Mcdonalds
41.844348,-87.705024,Mcdonalds
41.249832,-76.969749,Mcdonalds
38.836055,-77.059266,Mcdonalds
32.670962,-117.095994,Mcdonalds
39.973092,-82.011306,Mcdonalds
39.636279,-86.087778,Mcdonalds
42.936015,-88.048387,Mcdonalds
42.161491,-88.139154,Mcdonalds
33.889444,-118.352407,Mcdonalds
33.975615,-117.358834,Mcdonalds
27.996341,-82.516275,Mcdonalds
33.717215,-117.989011,Mcdonalds
38.901237,-76.940882,Mcdonalds
