uk_council,value,tooltip,,,,
Newcastle-under-Lyme Council,124700,"Newcastle-under-Lyme Council - 125,000",,,,
Newport Council,140700,"Newport Council - 141,000",,,,
Newry and Mourne District Council,97300,"Newry and Mourne District Council - 97,000",,,,
Newtownabbey Borough Council,82700,"Newtownabbey Borough Council - 83,000",,,,
Norfolk County Council,850800,"Norfolk County Council - 851,000",,,,
North Ayrshire Council,135900,"North Ayrshire Council - 136,000",,,,
North Devon District Council,92300,"North Devon District Council - 92,000",,,,
North Dorset District Council,67900,"North Dorset District Council - 68,000",,,,
North Down Borough Council,78900,"North Down Borough Council - 79,000",,,,
North East Derbyshire,98200,"North East Derbyshire - 98,000",,,,
North East Lincolnshire Council,158200,"North East Lincolnshire Council - 158,000",,,,
North Hertfordshire District Council,123800,"North Hertfordshire District Council - 124,000",,,,
North Kesteven District Council,106100,"North Kesteven District Council - 106,000",,,,
North Lanarkshire Council,325500,"North Lanarkshire Council - 326,000",,,,
North Lincolnshire Council,160300,"North Lincolnshire Council - 160,000",,,,
North Norfolk District Council,101500,"North Norfolk District Council - 102,000",,,,
North Somerset Council,206800,"North Somerset Council - 207,000",,,,
North Tyneside Council,197300,"North Tyneside Council - 197,000",,,,
North Warwickshire Borough Council,62300,"North Warwickshire Borough Council - 62,000",,,,
North West Leicestershire,90800,"North West Leicestershire - 91,000",,,,
North Yorkshire County Council,1073200,"North Yorkshire County Council - 1,073,000",,,,
Northampton Borough Council,205200,"Northampton Borough Council - 205,000",,,,
Northamptonshire County Council,685000,"Northamptonshire County Council - 685,000",,,,
Northumberland County Council,311000,"Northumberland County Council - 311,000",,,,
Norwich City Council,135800,"Norwich City Council - 136,000",,,,
Nottingham City Council,292400,"Nottingham City Council - 292,000",,,,
Nottinghamshire County Council,1068900,"Nottinghamshire County Council - 1,069,000",,,,
Nuneaton and Bedworth,122000,"Nuneaton and Bedworth - 122,000",,,,
Oadby and Wigston District Council,57200,"Oadby and Wigston District Council - 57,000",,,,
Oldham Metropolitan Borough Council,219700,"Oldham Metropolitan Borough Council - 220,000",,,,
Omagh District Council,52100,"Omagh District Council - 52,000",,,,
Orkney Islands Council,19900,"Orkney Islands Council - 20,000",,,,
Oxford City Council,153900,"Oxford City Council - 154,000",,,,
Oxfordshire County Council,639700,"Oxfordshire County Council - 640,000",,,,
Pembrokeshire Council,118800,"Pembrokeshire Council - 119,000",,,,
Pendle Borough Council,89900,"Pendle Borough Council - 90,000",,,,
Perth and Kinross Council,144200,"Perth and Kinross Council - 144,000",,,,
Peterborough City Council,164000,"Peterborough City Council - 164,000",,,,
Plymouth City Council,252800,"Plymouth City Council - 253,000",,,,
Poole Borough Council,138800,"Poole Borough Council - 139,000",,,,
Portsmouth City Council,200000,"Portsmouth City Council - 200,000",,,,
Powys County Council,132600,"Powys County Council - 133,000",,,,
Preston Borough Council,132000,"Preston Borough Council - 132,000",,,,
Purbeck District Council,46000,"Purbeck District Council - 46,000",,,,
Reading Borough Council,145700,"Reading Borough Council - 146,000",,,,
Redcar and Cleveland,139500,"Redcar and Cleveland - 140,000",,,,
Redditch Borough Council,79900,"Redditch Borough Council - 80,000",,,,
Reigate and Banstead Borough Council,134800,"Reigate and Banstead Borough Council - 135,000",,,,
Renfrewshire Council,169800,"Renfrewshire Council - 170,000",,,,
Rhondda Cynon Taf County Borough Council,234100,"Rhondda Cynon Taf County Borough Council - 234,000",,,,
Ribble Valley Borough Council,58500,"Ribble Valley Borough Council - 59,000",,,,
Richmondshire District Council,51500,"Richmondshire District Council - 52,000",,,,
Rochdale Metropolitan Borough Council,206300,"Rochdale Metropolitan Borough Council - 206,000",,,,
Rochford District Council,83200,"Rochford District Council - 83,000",,,,
Rossendale,67300,"Rossendale - 67,000",,,,
Rother District Council,88800,"Rother District Council - 89,000",,,,
Rotherham Metropolitan Borough Council,253900,"Rotherham Metropolitan Borough Council - 254,000",,,,
Royal Borough of Kensington and Chelsea,180300,"Royal Borough of Kensington and Chelsea - 180,000",,,,
Royal Borough of Kingston upon Thames,160100,"Royal Borough of Kingston upon Thames - 160,000",,,,
Royal Borough of Windsor and Maidenhead,142800,"Royal Borough of Windsor and Maidenhead - 143,000",,,,
Rugby,91700,"Rugby - 92,000",,,,
Runnymede Borough Council,83400,"Runnymede Borough Council - 83,000",,,,
Rushcliffe Council,109800,"Rushcliffe Council - 110,000",,,,
Rushmoor Borough Council,89600,"Rushmoor Borough Council - 90,000",,,,
Rutland County Council,39200,"Rutland County Council - 39,000",,,,
Ryedale,53500,"Ryedale - 54,000",,,,
Salford City Council,221300,"Salford City Council - 221,000",,,,
Sandwell Metropolitan Borough Council,289100,"Sandwell Metropolitan Borough Council - 289,000",,,,
Scarborough Borough Council,108500,"Scarborough Borough Council - 109,000",,,,
Scottish Borders Council,112400,"Scottish Borders Council - 112,000",,,,
Sedgemoor,112800,"Sedgemoor - 113,000",,,,
Sefton Metropolitan Borough Council,275100,"Sefton Metropolitan Borough Council - 275,000",,,,
Selby,82000,"Selby - 82,000",,,,
Sevenoaks District Council,114700,"Sevenoaks District Council - 115,000",,,,
Sheffield Council,534500,"Sheffield Council - 535,000",,,,
Shepway District Council,100100,"Shepway District Council - 100,000",,,,
Shetland Islands Council,22000,"Shetland Islands Council - 22,000",,,,
Shropshire Council,292800,"Shropshire Council - 293,000",,,,
Slough Borough Council,121200,"Slough Borough Council - 121,000",,,,
Solihull Metropolitan Borough Council,205500,"Solihull Metropolitan Borough Council - 206,000",,,,
Somerset County Council,n,,,,,
South Ayrshire Council,111700,"South Ayrshire Council - 112,000",,,,
South Bucks District Council,64800,"South Bucks District Council - 65,000",,,,
South Cambridgeshire,139300,"South Cambridgeshire - 139,000",,,,
South Derbyshire,92700,"South Derbyshire - 93,000",,,,
South Gloucestershire District Council,257700,"South Gloucestershire District Council - 258,000",,,,
South Hams District Council,83500,"South Hams District Council - 84,000",,,,
South Holland,83400,"South Holland - 83,000",,,,
South Kesteven,132000,"South Kesteven - 132,000",,,,
South Lakeland District Council,104400,"South Lakeland District Council - 104,000",,,,
South Lanarkshire Council,310100,"South Lanarkshire Council - 310,000",,,,
South Norfolk,119200,"South Norfolk - 119,000",,,,
South Northamptonshire,91000,"South Northamptonshire - 91,000",,,,
South Oxfordshire District Council,129100,"South Oxfordshire District Council - 129,000",,,,
South Ribble Borough Council,107200,"South Ribble Borough Council - 107,000",,,,
South Somerset District Council,158700,"South Somerset District Council - 159,000",,,,
South Staffordshire,106400,"South Staffordshire - 106,000",,,,
South Tyneside Metropolitan Borough Council,151600,"South Tyneside Metropolitan Borough Council - 152,000",,,,
Southampton City Council,234600,"Southampton City Council - 235,000",,,,
Southend-on-Sea Council,164300,"Southend-on-Sea Council - 164,000",,,,
Spelthorne Borough Council,91200,"Spelthorne Borough Council - 91,000",,,,
St Albans City and District Council,133700,"St Albans City and District Council - 134,000",,,,
St Edmundsbury Borough Council,103700,"St Edmundsbury Borough Council - 104,000",,,,
St Helens Borough Council,177500,"St Helens Borough Council - 178,000",,,,
Stafford Borough Council,124700,"Stafford Borough Council - 125,000",,,,
Staffordshire County Council,1069000,"Staffordshire County Council - 1,069,000",,,,
Staffordshire Moorlands District Council,95500,"Staffordshire Moorlands District Council - 96,000",,,,
Stevenage Borough Council,80000,"Stevenage Borough Council - 80,000",,,,
Stirling Council,88400,"Stirling Council - 88,000",,,,
Stockport Metropolitan Borough Council,281000,"Stockport Metropolitan Borough Council - 281,000",,,,
Stockton-on-Tees Borough Council,191900,"Stockton-on-Tees Borough Council - 192,000",,,,
Stoke-on-Trent City Council,240100,"Stoke-on-Trent City Council - 240,000",,,,
Strabane District Council,39600,"Strabane District Council - 40,000",,,,
Stratford-on-Avon,118800,"Stratford-on-Avon - 119,000",,,,
Stroud District Council,110700,"Stroud District Council - 111,000",,,,
Suffolk Coastal District Council,125600,"Suffolk Coastal District Council - 126,000",,,,
Suffolk County Council,714000,"Suffolk County Council - 714,000",,,,
Sunderland City Council,280300,"Sunderland City Council - 280,000",,,,
Surrey County Council,1109700,"Surrey County Council - 1,110,000",,,,
Surrey Heath Borough Council,83400,"Surrey Heath Borough Council - 83,000",,,,
Swale Borough Council,131900,"Swale Borough Council - 132,000",,,,
Swindon Borough Council,192900,"Swindon Borough Council - 193,000",,,,
Tameside Metropolitan Borough Council,215500,"Tameside Metropolitan Borough Council - 216,000",,,,
Tamworth Borough Council,75800,"Tamworth Borough Council - 76,000",,,,
Tandridge District Council,83500,"Tandridge District Council - 84,000",,,,
Taunton Deane Borough Council,108700,"Taunton Deane Borough Council - 109,000",,,,
Teignbridge District Council,127600,"Teignbridge District Council - 128,000",,,,
Telford and Wrekin Council,162100,"Telford and Wrekin Council - 162,000",,,,
Tendring District Council,147600,"Tendring District Council - 148,000",,,,
Test Valley Borough Council,115400,"Test Valley Borough Council - 115,000",,,,
Tewkesbury Borough Council,79100,"Tewkesbury Borough Council - 79,000",,,,
Thanet District Council,129900,"Thanet District Council - 130,000",,,,
Three Rivers District Council,87700,"Three Rivers District Council - 88,000",,,,
Thurrock Council,151600,"Thurrock Council - 152,000",,,,
Tonbridge and Malling Borough Council,117100,"Tonbridge and Malling Borough Council - 117,000",,,,
Torbay Council,134000,"Torbay Council - 134,000",,,,
Torfaen County Borough,91100,"Torfaen County Borough - 91,000",,,,
Torridge District Council,65600,"Torridge District Council - 66,000",,,,
Trafford Metropolitan Council,212800,"Trafford Metropolitan Council - 213,000",,,,
Tunbridge Wells Borough Council,107400,"Tunbridge Wells Borough Council - 107,000",,,,
Uttlesford District Council,73700,"Uttlesford District Council - 74,000",,,,
Vale of Glamorgan,124900,"Vale of Glamorgan - 125,000",,,,
Vale of White Horse District Council,116900,"Vale of White Horse District Council - 117,000",,,,
Wakefield City Metropolitan District Council,322300,"Wakefield City Metropolitan District Council - 322,000",,,,
Walsall Metropolitan Borough Council,255400,"Walsall Metropolitan Borough Council - 255,000",,,,
Warrington Borough Council,196200,"Warrington Borough Council - 196,000",,,,
Warwick District Council,135700,"Warwick District Council - 136,000",,,,
Warwickshire County Council,530500,"Warwickshire County Council - 531,000",,,,
Watford Borough Council,81000,"Watford Borough Council - 81,000",,,,
Waveney District Council,117700,"Waveney District Council - 118,000",,,,
Waverley Borough Council,118700,"Waverley Borough Council - 119,000",,,,
Wealden District Council,143300,"Wealden District Council - 143,000",,,,
Wellingborough,76400,"Wellingborough - 76,000",,,,
Welwyn Hatfield Council,108300,"Welwyn Hatfield Council - 108,000",,,,
West Berkshire Council,152800,"West Berkshire Council - 153,000",,,,
West Devon Borough Council,52900,"West Devon Borough Council - 53,000",,,,
West Dorset District Council,97200,"West Dorset District Council - 97,000",,,,
West Dunbartonshire,90900,"West Dunbartonshire - 91,000",,,,
West Lancashire District Council,109400,"West Lancashire District Council - 109,000",,,,
West Lindsey District Council,88900,"West Lindsey District Council - 89,000",,,,
West Lothian Council,169500,"West Lothian Council - 170,000",,,,
West Oxfordshire,101600,"West Oxfordshire - 102,000",,,,
West Somerset,35500,"West Somerset - 36,000",,,,
