value,address
   2,"54 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"55 ABBETT AVE MORRISTOWN TOWN, NJ"
   2,"55 BANK ST MORRISTOWN TOWN, NJ"
   6,"55 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"55 MARKET ST MORRISTOWN TOWN, NJ"
   2,"55 RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   2,"56 MT KEMBLE AVE MORRISTOWN TOWN, NJ"
   2,"58 RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   2,"59 FRANKLIN ST MORRISTOWN TOWN, NJ"
   1,"6 GEORGIAN COURT MORRISTOWN TOWN, NJ"
   2,"6 PINE STREET MORRISTOWN TOWN, NJ"
   2,"6 SUSSEX AVE MORRISTOWN TOWN, NJ"
   2,"63 MACCULLOCH AVE MORRISTOWN TOWN, NJ"
   2,"65 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"65 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"66 MORRIS ST LOT MORRISTOWN TOWN, NJ"
  45,"66 MORRIS ST MORRISTOWN TOWN, NJ"
   2,"66 MORRIS STREET and MORRIS ST MORRISTOWN TOWN, NJ"
   4,"66 MORRIS STREET MORRISTOWN TOWN, NJ"
   2,"68 PINE ST MORRISTOWN TOWN, NJ"
   1,"69 WETMORE AVENUE MORRISTOWN TOWN, NJ"
   5,"7 ELM ST MORRISTOWN TOWN, NJ"
   2,"7 KING PL MORRISTOWN TOWN, NJ"
   4,"73 MORRIS ST MORRISTOWN TOWN, NJ"
   1,"74 MORRIS ST MORRISTOWN TOWN, NJ"
  10,"77 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"77 MADISON AVENUE MORRISTOWN TOWN, NJ"
   2,"78 MARKET ST MORRISTOWN TOWN, NJ"
   4,"79 MLK AVE MORRISTOWN TOWN, NJ"
   2,"80 SOUTH STREET MORRISTOWN TOWN, NJ"
   2,"80 WASHINGTON ST LOT MORRISTOWN TOWN, NJ"
   2,"84 MAPLE AVE MORRISTOWN TOWN, NJ"
   1,"87 RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   2,"9 AIRPORT RD MORRISTOWN TOWN, NJ"
   2,"9 CUTLER ST MORRISTOWN TOWN, NJ"
   1,"9 JERSEY AVE MORRISTOWN TOWN, NJ"
   2,"91 RIDGEDALE AV MORRISTOWN TOWN, NJ"
