"latitude","tab_friendlykia","tab_hostnationkia","year","tab_civiliankia","tab_enemykia","longitude"
"31.88110924","0","1","Mon Oct 11 00:00:00 -0400 2004","0","0","67.46250153"
"32.37667084","0","1","Mon Oct 11 00:00:00 -0400 2004","0","0","62.11917114"
"29.75917053","0","0","Mon Oct 11 00:00:00 -0400 2004","1","0","65.75166321"
"34.55556107","0","0","Mon Oct 11 00:00:00 -0400 2004","1","0","69.20471954"
"32.9569397","1","0","Thu Oct 14 00:00:00 -0400 2004","0","0","65.45084381"
"34.90304947","0","0","Fri Oct 15 00:00:00 -0400 2004","5","0","71.23557281"
"32.9552803","0","0","Mon Oct 18 00:00:00 -0400 2004","5","0","68.62333679"
"33.17221832","0","1","Fri Oct 22 00:00:00 -0400 2004","0","0","68.79277802"
"34.52582932","1","0","Sat Oct 23 00:00:00 -0400 2004","0","1","69.16889191"
"32.51639175","0","0","Sun Oct 24 00:00:00 -0400 2004","0","2","67.54556274"
"33.37471008","0","0","Mon Nov 01 00:00:00 -0500 2004","0","1","69.43083954"
"32.9636116","0","3","Tue Nov 02 00:00:00 -0500 2004","0","0","65.48194122"
"32.78527832","0","2","Tue Nov 02 00:00:00 -0500 2004","0","0","66.04472351"
"32.92026901","0","0","Thu Nov 04 00:00:00 -0500 2004","5","0","69.30473328"
"32.0","0","3","Sat Nov 06 00:00:00 -0500 2004","0","0","67.25002289"
"36.76665878","0","2","Sat Nov 06 00:00:00 -0500 2004","0","0","66.69998169"
"35.32720947","0","1","Sat Nov 06 00:00:00 -0500 2004","0","0","70.88249969"
"31.0","0","0","Sun Nov 07 00:00:00 -0500 2004","7","0","65.74997711"
"31.0","0","2","Sun Nov 07 00:00:00 -0500 2004","0","0","65.74997711"
"36.74528122","0","2","Sun Nov 07 00:00:00 -0500 2004","0","0","70.83499908"
"31.0","0","4","Sun Nov 07 00:00:00 -0500 2004","0","0","65.74997711"
"31.0","0","1","Sun Nov 07 00:00:00 -0500 2004","0","0","65.74997711"
"31.0","0","0","Mon Nov 08 00:00:00 -0500 2004","2","0","65.74997711"
"35.74666977","0","0","Mon Nov 08 00:00:00 -0500 2004","1","0","68.8013916"
"32.0","0","3","Mon Nov 08 00:00:00 -0500 2004","0","0","67.25002289"
"36.63637924","0","0","Mon Nov 08 00:00:00 -0500 2004","0","8","67.17610931"
"33.63721848","0","0","Tue Nov 09 00:00:00 -0500 2004","0","1","69.40556335"
"34.34471893","0","2","Tue Nov 09 00:00:00 -0500 2004","0","0","62.19944"
"34.34471893","0","0","Wed Nov 10 00:00:00 -0500 2004","0","3","62.19944"
"36.69998932","0","0","Wed Nov 10 00:00:00 -0500 2004","2","0","67.09999084"
"34.27249908","0","1","Thu Nov 11 00:00:00 -0500 2004","0","0","70.53749847"
"33.63721848","0","0","Thu Nov 11 00:00:00 -0500 2004","0","1","69.40556335"
"34.27249908","0","1","Thu Nov 11 00:00:00 -0500 2004","0","0","70.53749847"
"31.0","0","0","Thu Nov 11 00:00:00 -0500 2004","0","2","64.0"
"31.0","0","2","Fri Nov 12 00:00:00 -0500 2004","0","0","65.74997711"
"31.0","0","1","Sat Nov 13 00:00:00 -0500 2004","0","0","65.74997711"
"33.63721848","0","0","Sat Nov 13 00:00:00 -0500 2004","0","2","69.40556335"
"32.67139053","0","4","Tue Nov 16 00:00:00 -0500 2004","0","0","65.48249817"
"33.63721848","0","0","Thu Nov 18 00:00:00 -0500 2004","0","2","69.40556335"
"31.0","0","1","Thu Nov 18 00:00:00 -0500 2004","0","0","66.40000153"
"34.98917007","0","1","Fri Nov 19 00:00:00 -0500 2004","0","0","69.66192627"
"32.5058403","0","0","Sat Nov 20 00:00:00 -0500 2004","1","0","67.30555725"
"34.2536087","0","0","Mon Nov 22 00:00:00 -0500 2004","0","1","70.32917023"
"34.95000076","0","0","Tue Nov 23 00:00:00 -0500 2004","1","0","69.21333313"
"32.64276886","2","0","Wed Nov 24 00:00:00 -0500 2004","0","0","65.46138763"
"33.13222122","0","0","Fri Dec 10 00:00:00 -0500 2004","0","4","70.00861359"
"34.80083084","0","0","Sat Dec 11 00:00:00 -0500 2004","5","0","71.1138916"
"32.3133316","0","0","Mon Dec 13 00:00:00 -0500 2004","0","2","66.76083374"
"33.2358284","0","0","Mon Dec 13 00:00:00 -0500 2004","0","7","70.10527039"
"34.64860916","0","0","Tue Dec 14 00:00:00 -0500 2004","1","0","70.85694885"
"34.27775955","0","1","Sat Dec 18 00:00:00 -0500 2004","0","0","64.97498322"
"32.54999924","0","0","Sat Dec 18 00:00:00 -0500 2004","5","0","67.03333282"
"34.23332977","0","1","Mon Dec 20 00:00:00 -0500 2004","0","0","71.03333282"
"34.12916946","0","1","Wed Dec 22 00:00:00 -0500 2004","0","0","62.33943176"
"34.75944901","0","1","Wed Dec 22 00:00:00 -0500 2004","0","0","70.17500305"
"31.73443031","0","1","Fri Dec 24 00:00:00 -0500 2004","0","2","67.35529327"
"32.97138977","0","1","Sat Dec 25 00:00:00 -0500 2004","0","0","69.47194672"
"33.20000076","0","0","Sun Dec 26 00:00:00 -0500 2004","2","0","68.09999084"
"31.0","0","1","Mon Dec 27 00:00:00 -0500 2004","0","0","64.0"
"33.34194946","0","0","Sat Jan 01 00:00:00 -0500 2005","1","1","62.32611084"
"34.82804871","1","0","Mon Jan 03 00:00:00 -0500 2005","0","0","71.12251282"
"34.82804871","1","0","Mon Jan 03 00:00:00 -0500 2005","0","0","71.12249756"
"33.36832809","0","0","Mon Jan 10 00:00:00 -0500 2005","1","0","62.20249939"
"35.28388977","0","1","Thu Jan 13 00:00:00 -0500 2005","0","0","71.54000092"
"33.10528183","0","0","Fri Jan 14 00:00:00 -0500 2005","0","1","69.2591629"
"32.93415833","0","0","Tue Jan 18 00:00:00 -0500 2005","1","1","69.15499878"
"32.93415833","0","2","Wed Jan 19 00:00:00 -0500 2005","0","0","69.15556335"
"32.61666107","0","1","Wed Jan 19 00:00:00 -0500 2005","0","0","65.49278259"
"32.82471848","0","0","Sat Jan 22 00:00:00 -0500 2005","1","0","65.42888641"
"35.37944031","0","2","Sun Jan 23 00:00:00 -0500 2005","0","0","71.54389191"
"31.81833076","0","0","Mon Jan 24 00:00:00 -0500 2005","0","1","64.56360626"
"31.80776978","0","6","Thu Jan 27 00:00:00 -0500 2005","0","0","64.51888275"
"32.50722122","0","1","Sat Jan 29 00:00:00 -0500 2005","0","0","69.25971985"
"34.74304962","0","0","Sat Jan 29 00:00:00 -0500 2005","0","2","71.01416016"
"33.35194016","0","1","Sat Jan 29 00:00:00 -0500 2005","0","0","70.00639343"
"30.97583961","0","13","Sun Jan 30 00:00:00 -0500 2005","0","0","66.51083374"
"33.37833023","0","0","Fri Feb 11 00:00:00 -0500 2005","0","2","62.25167084"
"32.78527832","0","0","Sat Feb 19 00:00:00 -0500 2005","4","0","66.04472351"
"36.61972046","0","0","Sun Feb 20 00:00:00 -0500 2005","0","1","67.18916321"
"33.99554062","0","0","Mon Feb 21 00:00:00 -0500 2005","0","1","69.10471344"
"33.3430481","0","0","Thu Feb 24 00:00:00 -0500 2005","0","10","70.21417236"
"32.81694031","0","0","Wed Mar 02 00:00:00 -0500 2005","2","3","69.41750336"
"35.20999908","0","2","Sat Mar 05 00:00:00 -0500 2005","0","0","71.52361298"
"33.21138","1","0","Tue Mar 15 00:00:00 -0500 2005","5","0","62.20915985"
"33.21165848","0","0","Wed Mar 16 00:00:00 -0500 2005","5","0","62.20639038"
"31.62055016","0","0","Thu Mar 17 00:00:00 -0500 2005","4","0","65.71555328"
"32.67943954","0","0","Sat Mar 19 00:00:00 -0500 2005","1","0","62.43555069"
"32.51665878","0","0","Mon Mar 21 00:00:00 -0500 2005","1","0","67.41665649"
"33.38555145","0","0","Tue Mar 22 00:00:00 -0500 2005","0","25","70.30194092"
"31.8555603","1","0","Tue Mar 22 00:00:00 -0500 2005","0","5","68.11360931"
"34.89611053","0","0","Tue Mar 22 00:00:00 -0500 2005","0","3","70.91387939"
"34.8808403","0","0","Tue Mar 22 00:00:00 -0500 2005","0","1","70.90972137"
"34.60026932","0","0","Wed Mar 30 00:00:00 -0500 2005","0","1","70.45500183"
"31.14805031","0","0","Fri Apr 01 00:00:00 -0500 2005","3","0","66.24028778"
"30.99694061","0","1","Sun Apr 03 00:00:00 -0500 2005","1","0","66.39333344"
"32.62527847","0","0","Mon Apr 11 00:00:00 -0400 2005","1","0","65.45498657"
"33.44944","0","0","Tue Apr 12 00:00:00 -0400 2005","0","13","69.37805176"
"33.20360947","0","0","Tue Apr 19 00:00:00 -0400 2005","0","13","70.09638977"
"32.94388962","0","1","Thu Apr 21 00:00:00 -0400 2005","0","12","69.49305725"
"32.19776917","0","0","Fri Apr 22 00:00:00 -0400 2005","0","1","63.16722107"
"31.6875","1","0","Sun Apr 24 00:00:00 -0400 2005","0","0","65.61943817"
"32.71139145","0","0","Mon Apr 25 00:00:00 -0400 2005","0","5","69.16306305"
"32.84749985","1","0","Tue Apr 26 00:00:00 -0400 2005","0","0","65.28806305"
"32.375","0","0","Thu Apr 28 00:00:00 -0400 2005","0","50","63.82165909"
"32.85223007","0","0","Thu Apr 28 00:00:00 -0400 2005","0","20","65.26526642"
"32.71203995","0","0","Fri Apr 29 00:00:00 -0400 2005","0","4","66.85442352"
"34.94607925","0","2","Sat Apr 30 00:00:00 -0400 2005","0","0","71.04898834"
"31.97487068","0","3","Mon May 02 00:00:00 -0400 2005","0","0","65.96826172"
"32.95310974","0","4","Mon May 02 00:00:00 -0400 2005","0","0","69.47814178"
"32.76613998","0","0","Tue May 03 00:00:00 -0400 2005","0","37","67.26087189"
"32.77053833","0","1","Tue May 03 00:00:00 -0400 2005","0","0","67.25331116"
"32.19832993","0","9","Wed May 04 00:00:00 -0400 2005","0","4","65.89703369"
"34.91516876","2","0","Sun May 08 00:00:00 -0400 2005","0","24","70.17752838"
"32.67926025","0","0","Mon May 09 00:00:00 -0400 2005","0","10","69.31433868"
"32.57143021","0","0","Tue May 10 00:00:00 -0400 2005","1","0","65.94304657"
"34.52350998","0","0","Tue May 10 00:00:00 -0400 2005","1","0","69.06835938"
"32.64292908","0","0","Tue May 10 00:00:00 -0400 2005","0","12","66.66272736"
"32.68867874","0","0","Wed May 11 00:00:00 -0400 2005","0","1","66.70674133"
"34.40942001","0","0","Wed May 11 00:00:00 -0400 2005","37","0","70.49043274"
"36.09502029","0","1","Wed May 11 00:00:00 -0400 2005","0","0","68.56201935"
"34.89517975","1","0","Thu May 12 00:00:00 -0400 2005","0","0","70.91959381"
"33.60113907","0","0","Fri May 13 00:00:00 -0400 2005","1","0","69.22202301"
"34.98777008","0","0","Fri May 13 00:00:00 -0400 2005","1","0","63.13254929"
"32.03250122","0","2","Sat May 14 00:00:00 -0400 2005","0","0","66.95881653"
"32.26649857","0","1","Sun May 15 00:00:00 -0400 2005","0","0","67.13671112"
"33.52381134","0","0","Mon May 16 00:00:00 -0400 2005","3","0","68.48150635"
"31.11675835","0","1","Wed May 18 00:00:00 -0400 2005","3","0","64.04110718"
"31.53821945","0","0","Thu May 19 00:00:00 -0400 2005","0","1","65.47104645"
"34.21569061","0","1","Thu May 19 00:00:00 -0400 2005","0","0","62.22241974"
"31.9769001","1","0","Sat May 21 00:00:00 -0400 2005","0","0","67.494133"
"32.98012924","0","0","Sat May 21 00:00:00 -0400 2005","0","12","69.50942993"
"32.76259995","0","0","Sun May 22 00:00:00 -0400 2005","0","1","67.2022171"
